Station,Date,Time,Alk-Tot,Ca-Dis,Cl-Dis,EC,Fe-Dis,Mg-Dis,NH3N,NO3N,O2-Dis,SO4-Dis,SiO2-Rea,TDP,TEMP,TSS,Zn-Dis,pH,Station Identifier,Latitude,Longitude
RUS00021,2020-09-02,,62.0,10.8,0.6,1239.0,0.03,5.1,0.01,0.13,9.5,5.6,1.2,0.02,7.0,2.0,0.005,7.5,Baikal Lake - Listvyanka,51.6666666666667,105.0
RUS00021,2020-10-26,,64.0,11.0,0.6,1144.0,,5.2,0.01,0.08,10.8,5.0,0.3,0.02,4.9,2.0,,8.0,Baikal Lake - Listvyanka,51.6666666666667,105.0
RUS00021,2021-06-23,,63.0,10.0,0.6,1177.0,0.03,5.8,0.01,0.08,11.5,6.0,0.3,0.02,5.1,2.0,0.002,7.7,Baikal Lake - Listvyanka,51.6666666666667,105.0
RUS00021,2021-06-23,,66.0,10.4,0.6,1201.0,0.02,5.8,0.01,0.09,11.4,5.8,0.05,0.02,4.4,2.0,0.002,7.8,Baikal Lake - Listvyanka,51.6666666666667,105.0
RUS00021,2021-06-23,,65.0,10.6,0.6,1198.0,0.03,5.7,0.01,0.08,,6.3,0.05,0.02,4.3,2.0,0.002,7.8,Baikal Lake - Listvyanka,51.6666666666667,105.0
RUS00021,2021-06-23,,64.0,11.6,0.6,1254.0,0.02,6.4,0.01,0.09,,6.3,0.6,0.02,4.6,2.0,0.002,7.7,Baikal Lake - Listvyanka,51.6666666666667,105.0
RUS00021,2021-06-23,,66.0,10.4,0.6,1206.0,0.03,6.0,0.01,0.12,10.3,6.3,0.9,0.02,4.3,2.0,0.002,7.6,Baikal Lake - Listvyanka,51.6666666666667,105.0
RUS00021,2021-09-04,,68.0,10.0,0.6,1224.0,0.01,6.3,0.01,0.02,9.8,6.8,0.3,0.02,12.8,2.0,0.001,8.2,Baikal Lake - Listvyanka,51.6666666666667,105.0
RUS00021,2021-09-04,,66.0,10.2,0.6,1202.0,0.01,6.2,0.01,0.03,10.3,6.5,0.3,0.02,9.8,2.0,0.001,8.1,Baikal Lake - Listvyanka,51.6666666666667,105.0
RUS00021,2021-09-04,,67.0,9.6,0.6,1206.0,0.01,6.3,0.01,0.08,,6.5,0.3,0.02,7.6,2.0,0.001,7.9,Baikal Lake - Listvyanka,51.6666666666667,105.0
RUS00021,2021-09-04,,66.0,10.4,0.6,1205.0,0.01,6.1,0.01,0.1,,6.5,0.3,0.02,6.0,2.0,0.001,7.9,Baikal Lake - Listvyanka,51.6666666666667,105.0
RUS00021,2021-09-04,,64.0,10.4,0.6,1207.0,0.01,6.0,0.01,0.13,10.0,6.4,0.8,0.02,5.2,2.0,0.001,7.7,Baikal Lake - Listvyanka,51.6666666666667,105.0
RUS00021,2021-10-26,,68.0,11.2,0.6,1216.0,0.01,6.0,0.01,0.05,11.3,5.0,0.5,0.02,6.8,2.0,0.001,7.9,Baikal Lake - Listvyanka,51.6666666666667,105.0
